plate,position,sample
1,A1,S1
1,A2,S2
1,A3,S3
1,A4,S4
1,A5,S5
1,A6,S6
1,A7,S7
1,A8,S8
1,A9,S9
1,A10,S10
1,A11,S11
1,A12,S12
1,A13,S13
1,A14,S14
1,A15,S15
1,A16,S16
1,A17,S17
1,A18,S18
1,A19,S19
1,A20,S20
1,A21,S21
1,A22,S22
1,A23,S23
1,A24,S24
1,B1,S25
1,B2,S26
1,B3,S27
1,B4,S28
1,B5,S29
1,B6,S30
1,B7,S31
1,B8,S32
1,B9,S33
1,B10,S34
1,B11,S35
1,B12,S36
1,B13,S37
1,B14,S38
1,B15,S39
1,B16,S40
1,B17,S41
1,B18,S42
1,B19,S43
1,B20,S44
1,B21,S45
1,B22,S46
1,B23,S47
1,B24,S48
1,C1,S49
1,C2,S50
1,C3,S51
1,C4,S52
1,C5,S53
1,C6,S54
1,C7,S55
1,C8,S56
1,C9,S57
1,C10,S58
1,C11,S59
1,C12,S60
1,C13,S61
1,C14,S62
1,C15,S63
1,C16,S64
1,C17,S65
1,C18,S66
1,C19,S67
1,C20,S68
1,C21,S69
1,C22,S70
1,C23,S71
1,C24,S72
1,D1,S73
1,D2,S74
1,D3,S75
1,D4,S76
1,D5,S77
1,D6,S78
1,D7,S79
1,D8,S80
1,D9,S81
1,D10,S82
1,D11,S83
1,D12,S84
1,D13,S85
1,D14,S86
1,D15,S87
1,D16,S88
1,D17,S89
1,D18,S90
1,D19,S91
1,D20,S92
1,D21,S93
1,D22,S94
1,D23,S95
1,D24,S96
2,F1,S97
2,F2,S98
2,F3,S99
2,F4,S100
2,F5,S101
2,F6,S102
2,F7,S103
2,F8,S104
2,F9,S105
2,F10,S106
2,F11,S107
2,F12,S108
2,F13,S109
2,F14,S110
2,F15,S111
2,F16,S112
2,F17,S113
2,F18,S114
2,F19,S115
2,F20,S116
2,F21,S117
2,F22,S118
2,F23,S119
2,F24,S120
2,G1,S121
2,G2,S122
2,G3,S123
2,G4,S124
2,G5,S125
2,G6,S126
2,G7,S127
2,G8,S128
2,G9,S129
2,G10,S130
2,G11,S131
2,G12,S132
2,G13,S133
2,G14,S134
2,G15,S135
2,G16,S136
2,G17,S137
2,G18,S138
2,G19,S139
2,G20,S140
2,G21,S141
2,G22,S142
2,G23,S143
2,G24,S144
2,H1,S145
2,H2,S146
2,H3,S147
2,H4,S148
2,H5,S149
2,H6,S150
2,H7,S151
2,H8,S152
2,H9,S153
2,H10,S154
2,H11,S155
2,H12,S156
2,H13,S157
2,H14,S158
2,H15,S159
2,H16,S160
2,H17,S161
2,H18,S162
2,H19,S163
2,H20,S164
2,H21,S165
2,H22,S166
2,H23,S167
2,H24,S168
2,I1,S169
2,I2,S170
2,I3,S171
2,I4,S172
2,I5,S173
2,I6,S174
2,I7,S175
2,I8,S176
2,I9,S177
2,I10,S178
2,I11,S179
2,I12,S180
2,I13,S181
2,I14,S182
2,I15,S183
2,I16,S184
2,I17,S185
2,I18,S186
2,I19,S187
2,I20,S188
2,I21,S189
2,I22,S190
2,I23,S191
2,I24,S192
3,A1,S193
3,A2,S194
3,A3,S195
3,A4,S196
3,A5,S197
3,A6,S198
3,A7,S199
3,A8,S200
3,A9,S201
3,A10,S202
3,A11,S203
3,A12,S204
3,A13,S205
3,A14,S206
3,A15,S207
3,A16,S208
3,A17,S209
3,A18,S210
3,A19,S211
3,A20,S212
3,A21,S213
3,A22,S214
3,A23,S215
3,A24,S216
3,B1,S217
3,B2,S218
3,B3,S219
3,B4,S220
3,B5,S221
3,B6,S222
3,B7,S223
3,B8,S224
3,B9,S225
3,B10,S226
3,B11,S227
3,B12,S228
3,B13,S229
3,B14,S230
3,B15,S231
3,B16,S232
3,B17,S233
3,B18,S234
3,B19,S235
3,B20,S236
3,B21,S237
3,B22,S238
3,B23,S239
3,B24,S240
3,C1,S241
3,C2,S242
3,C3,S243
3,C4,S244
3,C5,S245
3,C6,S246
3,C7,S247
3,C8,S248
3,C9,S249
3,C10,S250
3,C11,S251
3,C12,S252
3,C13,S253
3,C14,S254
3,C15,S255
3,C16,S256
3,C17,S257
3,C18,S258
3,C19,S259
3,C20,S260
3,C21,S261
3,C22,S262
3,C23,S263
3,C24,S264
3,D1,S265
3,D2,S266
3,D3,S267
3,D4,S268
3,D5,S269
3,D6,S270
3,D7,S271
3,D8,S272
3,D9,S273
3,D10,S274
3,D11,S275
3,D12,S276
3,D13,S277
3,D14,S278
3,D15,S279
3,D16,S280
3,D17,S281
3,D18,S282
3,D19,S283
3,D20,S284
3,D21,S285
3,D22,S286
3,D23,S287
3,D24,S288
4,F1,S289
4,F2,S290
4,F3,S291
4,F4,S292
4,F5,S293
4,F6,S294
4,F7,S295
4,F8,S296
4,F9,S297
4,F10,S298
4,F11,S299
4,F12,S300
4,F13,S301
4,F14,S302
4,F15,S303
4,F16,S304
4,F17,S305
4,F18,S306
4,F19,S307
4,F20,S308
4,F21,S309
4,F22,S310
4,F23,S311
4,F24,S312
4,G1,S313
4,G2,S314
4,G3,S315
4,G4,S316
4,G5,S317
4,G6,S318
4,G7,S319
4,G8,S320
4,G9,S321
4,G10,S322
4,G11,S323
4,G12,S324
4,G13,S325
4,G14,S326
4,G15,S327
4,G16,S328
4,G17,S329
4,G18,S330
4,G19,S331
4,G20,S332
4,G21,S333
4,G22,S334
4,G23,S335
4,G24,S336
4,H1,S337
4,H2,S338
4,H3,S339
4,H4,S340
4,H5,S341
4,H6,S342
4,H7,S343
4,H8,S344
4,H9,S345
4,H10,S346
4,H11,S347
4,H12,S348
4,H13,S349
4,H14,S350
4,H15,S351
4,H16,S352
4,H17,S353
4,H18,S354
4,H19,S355
4,H20,S356
4,H21,S357
4,H22,S358
4,H23,S359
4,H24,S360
4,I1,S361
4,I2,S362
4,I3,S363
4,I4,S364
4,I5,S365
4,I6,S366
4,I7,S367
4,I8,S368
4,I9,S369
4,I10,S370
4,I11,S371
4,I12,S372
4,I13,S373
4,I14,S374
4,I15,S375
4,I16,S376
