plate,position,raw_sample,sample
1,A1,C90,S1
1,A3,C93,S3
1,A4,C111,S4
1,A5,M64,S5
1,A6,C73,S6
1,A7,H72,S7
1,A8,H69,S8
1,A9,C110,S9
1,A11,H63,S11
1,A12,M69,S12
1,B1,C87,S13
1,B2,C94,S14
1,B3,C107,S15
1,B5,C102,S17
1,B6,C98,S18
1,B8,Y73,S20
1,B9,C99,S21
1,B10,M75,S22
1,B11,C61,S23
1,B12,H61,S24
1,C1,C66,S25
1,C2,C78,S26
1,C3,H66,S27
1,C4,H62,S28
1,C5,C82,S29
1,C7,Y71,S31
1,C9,C74,S33
1,C10,C83,S34
1,C11,H70,S35
1,D2,C84,S38
1,D3,Y68,S39
1,D4,C100,S40
1,D5,M68,S41
1,D6,C88,S42
1,D7,C115,S43
1,D8,C75,S44
1,D10,C63,S46
1,D11,Y69,S47
1,D12,M70,S48
1,E1,QC,S49
1,E2,M72,S50
1,E3,Y75,S51
1,E4,C65,S52
1,E5,C64,S53
1,E6,C103,S54
1,E7,C112,S55
1,E8,M73,S56
1,E9,C114,S57
1,E10,C104,S58
1,F2,C101,S62
1,F3,QC,S63
1,F4,C109,S64
1,F5,M67,S65
1,F6,C85,S66
1,F7,Y70,S67
1,F8,C96,S68
1,F9,C95,S69
1,F10,C69,S70
1,F11,C62,S71
1,F12,Y77,S72
1,G1,H65,S73
1,G2,C106,S74
1,G4,C92,S76
1,G6,H74,S78
1,G7,C68,S79
1,G8,C70,S80
1,G11,C105,S83
1,G12,M71,S84
1,H2,Y65,S86
1,H3,C86,S87
1,H4,C113,S88
1,H5,C89,S89
1,H6,Y63,S90
1,H7,Y74,S91
1,H8,QC,S92
1,H9,M61,S93
1,H10,C71,S94
1,H11,H71,S95
1,H12,C108,S96
2,A1,C141,S97
2,A2,C151,S98
2,A3,C117,S99
2,A4,M79,S100
2,A5,M88,S101
2,A8,C145,S104
2,A9,M86,S105
2,A10,QC,S106
2,A11,QC,S107
2,A12,C131,S108
2,B1,H88,S109
2,B2,C163,S110
2,B3,C148,S111
2,B4,C155,S112
2,B5,C138,S113
2,B6,C157,S114
2,B8,Y82,S116
2,B9,M89,S117
2,B11,C126,S119
2,B12,Y89,S120
2,C1,H81,S121
2,C2,C139,S122
2,C4,C136,S124
2,C5,Y79,S125
2,C6,Y88,S126
2,C8,C119,S128
2,C9,H82,S129
2,C10,C150,S130
2,C11,C154,S131
2,C12,C149,S132
2,D1,Y80,S133
2,D2,C156,S134
2,D3,C122,S135
2,D4,C144,S136
2,D5,M81,S137
2,D6,C153,S138
2,D7,Y83,S139
2,D8,H80,S140
2,D10,H77,S142
2,D11,C159,S143
2,D12,C160,S144
2,E1,C125,S145
2,E2,Y85,S146
2,E3,H79,S147
2,E4,C142,S148
2,E5,C162,S149
2,E6,H85,S150
2,E7,C133,S151
2,E8,H91,S152
2,E9,C135,S153
2,E12,QC,S156
2,F1,C116,S157
2,F2,C120,S158
2,F3,C132,S159
2,F4,H78,S160
2,F5,M90,S161
2,F6,M78,S162
2,F7,Y91,S163
2,F9,C127,S165
2,F10,Y78,S166
2,F11,Y86,S167
2,F12,C134,S168
2,G1,C123,S169
2,G2,C152,S170
2,G3,C121,S171
2,G4,C146,S172
2,G5,C137,S173
2,G6,C164,S174
2,G7,C147,S175
2,G8,C140,S176
2,G9,Y92,S177
2,G10,C118,S178
2,G11,M92,S179
2,G12,C161,S180
2,H2,Y81,S182
2,H3,M85,S183
2,H4,C143,S184
2,H5,M80,S185
2,H6,H83,S186
2,H7,C158,S187
2,H8,C128,S188
2,H9,C124,S189
2,H10,Y84,S190
2,H11,H92,S191
2,H12,Y90,S192
3,A1,H93,S193
3,A3,C175,S195
3,A4,Y104,S196
3,A6,H155,S198
3,A7,C213,S199
3,A8,C172,S200
3,A9,C182,S201
3,A10,C192,S202
3,A11,C203,S203
3,B1,C176,S205
3,B2,M109,S206
3,B3,C209,S207
3,B4,H153,S208
3,B5,C216,S209
3,B6,C173,S210
3,B7,C211,S211
