"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","HC1 Area","HC2 Area","HC3 Area","CHB1 Area","CHB2 Area","CHB3 Area","LC1 Area","LC2 Area","LC3 Area","HCC1 Area","HCC2 Area","HCC3 Area","Sample Profile (Ratio)","HC Area","CHB Area","LC Area","HCC Area","Group Profile (Ratio)","Avg. Mass","Description"
983,true,"O15503|INSI1_HUMAN",4.04,2.89,1,1,"Carbamidomethylation",9735.403,11077.181,18406.19,1405.1029,9716.984,16327.981,13487.438,10406.657,15605.117,30802.676,7972.2354,26899.207,0.68:0.77:1.29:0.10:0.68:1.14:0.94:0.73:1.09:2.15:0.56:1.88,13072.925,9150.022,13166.404,21891.373,0.91:0.64:0.92:1.53,29987,"Insulin-induced gene 1 protein OS=Homo sapiens OX=9606 GN=INSIG1 PE=1 SV=3"
598,true,"P59665|DEF1_HUMAN",5.29,19.15,2,2,"Carbamidomethylation",614.321,535.99866,672.7422,3081.0234,29259.658,5907.563,1125.9961,33226.754,11626.459,104204.27,815.66565,877.4012,0.04:0.03:0.04:0.19:1.83:0.37:0.07:2.08:0.73:6.51:0.05:0.05,607.68726,12749.415,15326.403,35299.113,0.04:0.80:0.96:2.21,10201,"Neutrophil defensin 1 OS=Homo sapiens OX=9606 GN=DEFA1B PE=1 SV=1"
112,true,"P06310|KV230_HUMAN",9.38,9.17,19,1,"",881.892,0.0,529.04156,2968.5112,1326.0388,0.0,3106.5596,0.0,1808.0984,962.06476,1746.0801,708.4003,0.75:0.00:0.45:2.54:1.13:0.00:2.66:0.00:1.55:0.82:1.49:0.61,705.4668,2147.275,2457.329,1138.8484,0.44:1.33:1.52:0.71,13185,"Immunoglobulin kappa variable 2-30 OS=Homo sapiens OX=9606 GN=IGKV2-30 PE=3 SV=2"
1561,true,"Q9H0K1|SIK2_HUMAN",17.14,1.30,1,1,"",0.0,0.0,506.22086,683.4597,836.2066,761.877,1104.7421,1243.5415,1389.3765,2374.8247,2124.5825,1470.9114,0.00:0.00:0.49:0.66:0.80:0.73:1.06:1.19:1.33:2.28:2.04:1.41,506.22086,760.51447,1245.8867,1990.1062,0.45:0.68:1.11:1.77,103915,"Serine/threonine-protein kinase SIK2 OS=Homo sapiens OX=9606 GN=SIK2 PE=1 SV=1"
41,true,"P01042|KNG1_HUMAN",40.10,54.97,59,59,"Carbamidomethylation",424389.75,475118.12,481423.5,424302.0,440389.34,461590.5,302790.4,369505.0,362738.25,643711.1,613742.6,576809.7,0.91:1.02:1.04:0.91:0.95:0.99:0.65:0.80:0.78:1.39:1.32:1.24,460310.44,442093.94,345011.22,611421.1,0.99:0.95:0.74:1.32,71957,"Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2"
1655,true,"P17014|ZNF12_HUMAN",2.84,2.73,1,1,"",332640.88,80177.3,336217.66,49988.41,536440.2,494032.53,102316.51,216751.25,78048.21,74130.625,158506.75,63597.434,1.58:0.38:1.60:0.24:2.55:2.35:0.49:1.03:0.37:0.35:0.75:0.30,249678.61,360153.72,132371.98,98744.94,1.19:1.71:0.63:0.47,81202,"Zinc finger protein 12 OS=Homo sapiens OX=9606 GN=ZNF12 PE=1 SV=3"
1776,true,"Q86TI0|TBCD1_HUMAN",3.49,0.94,1,1,"",6688.705,912.31696,2239.669,5335.9307,1988.847,1775.0237,2980.6296,611.7504,526.2059,1847.1587,2348.3774,1089.6846,2.83:0.39:0.95:2.26:0.84:0.75:1.26:0.26:0.22:0.78:0.99:0.46,3280.2302,3033.267,1372.8619,1761.7402,1.39:1.28:0.58:0.75,133084,"TBC1 domain family member 1 OS=Homo sapiens OX=9606 GN=TBC1D1 PE=1 SV=2"
665,true,"P38398|BRCA1_HUMAN",20.18,0.38,1,1,"",0.0,409.7119,570.81714,9467.491,7571.8447,7552.9404,10947.197,6785.293,8838.942,0.0,527.29987,0.0,0.00:0.09:0.13:2.16:1.73:1.72:2.49:1.55:2.01:0.00:0.12:0.00,490.26453,8197.426,8857.145,527.29987,0.11:1.81:1.96:0.12,207721,"Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2"
1182,true,"Q02505|MUC3A_HUMAN",25.21,0.39,1,1,"Carbamidomethylation",11187.352,13279.998,7460.494,2859.7788,3116.9854,1842.8636,13587.463,4916.7583,4121.417,13394.419,15232.076,13292.835,1.29:1.53:0.86:0.33:0.36:0.21:1.56:0.57:0.47:1.54:1.75:1.53,10642.614,2904.9146,7541.8794,13973.109,1.21:0.33:0.86:1.59,345127,"Mucin-3A OS=Homo sapiens OX=9606 GN=MUC3A PE=1 SV=3"
781,true,"Q14872|MTF1_HUMAN",1.20,1.46,1,1,"Carbamidomethylation",1245.6722,431.42685,926.86115,0.0,768.34827,806.3224,0.0,503.20468,1143.0841,1871.9558,562.5417,1541.9543,1.53:0.53:1.13:0.00:0.94:0.99:0.00:0.62:1.40:2.29:0.69:1.89,867.98676,787.3353,823.1444,1325.4839,0.91:0.83:0.87:1.39,80957,"Metal regulatory transcription factor 1 OS=Homo sapiens OX=9606 GN=MTF1 PE=1 SV=2"
